gene	abs_delta_pool	instability_score	pooled_rank	instability_rank	rank_displacement
RvY_14730-1	0.0560235148508808	2.63613368160566	13398	13	13385
RvY_18684-1	0.0303951687028921	1.38313788936804	14231	800	13431
RvY_14091-1	0.0532191120437773	1.14696969311378	13487	1517	11970
