gene	abs_delta_pool	instability_score	pooled_rank	instability_rank	rank_displacement	masked
RvY_00941-1	0.736380044431117	2.12177748373067	1371	86	1285	FALSE
RvY_09765-1	0.636299312780279	2.12052115450576	1983	87	1896	FALSE
RvY_15640-1	0.111082614664602	2.12005855133942	11628	88	11540	TRUE
RvY_12270-1	0.0443442631889326	2.1200223770941	13763	89	13674	TRUE
RvY_19358-1	0.10107652365731	2.10894089346423	11933	90	11843	TRUE
RvY_04048	0.114807688856143	2.10584382792648	11528	91	11437	TRUE
RvY_09162-1	0.587662014203164	2.10506115710287	2400	92	2308	FALSE
RvY_00844-1	0.123823262093483	2.10152183359481	11271	93	11178	FALSE
RvY_08684-1	1.30719603569898	2.09830035751523	131	94	37	FALSE
RvY_09669-1	0.243133077591576	2.09511313340233	8022	95	7927	FALSE
RvY_04191	0.177750033911211	2.08695104082791	9710	96	9614	FALSE
RvY_07189-1	0.725639474497518	2.08491070738306	1419	97	1322	FALSE
RvY_13800	1.30841166280593	2.08282557151282	129	98	31	FALSE
RvY_13181-1	0.434788023990132	2.08248503512151	4226	99	4127	FALSE
RvY_09004-1	0.387720583541362	2.08041540849806	4956	100	4856	FALSE
RvY_07469-1	0.0615081265521127	2.08023609125887	13197	101	13096	TRUE
nad4	0.607663362053641	2.07801604405211	2221	102	2119	FALSE
RvY_14544-1	0.776982264819983	2.07710165620988	1172	103	1069	FALSE
RvY_01335	0.685954460865328	2.07653135552515	1645	104	1541	FALSE
RvY_09628	0.283103489333344	2.06884272197196	7109	105	7004	FALSE
RvY_02184-1	1.08648316073075	2.06862714110643	309	106	203	FALSE
nad4L	0.869259156558705	2.06771640966006	793	107	686	FALSE
RvY_14207-1	0.0771606692705396	2.0661789366449	12686	108	12578	TRUE
RvY_13203-1	0.757682335044799	2.05736135547234	1258	109	1149	FALSE
RvY_01281-1	0.124322358179726	2.05732754590646	11251	110	11141	FALSE
RvY_13839-1	0.0815258101081691	2.05590193955243	12551	111	12440	TRUE
