feature	condition	subgroup_1	subgroup_2	delta_1	delta_2	delta_pool	delta_strat	sign_flip	hetero_gap	discordance	instability_score	var_proxy
atp6	des	fast	slow	-1.52810111708351	-1.97944319933953	-1.75377215821152	-1.75377215821152	FALSE	0.451342082256019	0	0.451342082256019	1.05838263690137
atp8	des	fast	slow	-0.582220487361765	-1.66787179863551	-1.12504614299864	-1.12504614299864	FALSE	1.08565131127374	8.88178419700125e-16	1.08565131127374	0.673260014580556
cob	des	fast	slow	-0.893126469288381	-1.10286712050528	-0.997996794896833	-0.997996794896832	FALSE	0.209740651216903	8.88178419700125e-16	0.209740651216904	0.330549797999562
cox1	des	fast	slow	-0.918524560428875	-0.581018088411947	-0.749771324420411	-0.749771324420411	FALSE	0.337506472016928	8.88178419700125e-16	0.337506472016929	0.230643979632646
cox2	des	fast	slow	-2.13383604704985	-1.3097140578336	-1.72177505244173	-1.72177505244173	FALSE	0.824121989216248	0	0.824121989216248	0.931154149520607
cox3	des	fast	slow	-0.754234430072071	-0.96275717673916	-0.858495803405615	-0.858495803405615	FALSE	0.208522746667089	0	0.208522746667089	0.266132065320032
nad1	des	fast	slow	-1.34310424200659	-1.01495852545157	-1.17903138372908	-1.17903138372908	FALSE	0.32814571655503	8.88178419700125e-16	0.328145716555031	0.440648864002036
nad2	des	fast	slow	-1.66028076590011	-0.914254171351674	-1.28726746862589	-1.28726746862589	FALSE	0.746026594548436	0	0.746026594548436	0.581370015162693
nad3	des	fast	slow	-1.58810197247594	-0.819927523499445	-1.20401474798769	-1.20401474798769	FALSE	0.768174448976499	0	0.768174448976499	0.487118070251523
nad4	des	fast	slow	-1.10469349891358	-0.519343971728981	-0.812018735321281	-0.812018735321282	FALSE	0.585349527184603	8.88178419700125e-16	0.585349527184603	0.274336235874126
nad4L	des	fast	slow	-0.0966326611990045	-0.128531491958301	-0.112582076578652	-0.112582076578652	FALSE	0.031898830759296	0	0.031898830759296	0.103470813391628
nad5	des	fast	slow	-1.47196480906376	-1.30963654704357	-1.39080067805366	-1.39080067805366	FALSE	0.162328262020193	0	0.162328262020193	0.602828466194392
nad6	des	fast	slow	-1.88528787377507	-1.04576770031382	-1.46552778704445	-1.46552778704445	FALSE	0.839520173461246	0	0.839520173461246	0.714937335008072
RvY_00001-1	des	fast	slow	0.872586045736304	0.252708785415775	0.56264741557604	0.56264741557604	FALSE	0.619877260320529	8.88178419700125e-16	0.619877260320529	0.541477949481314
RvY_00005	des	fast	slow	0.244167768786094	-0.361908754222003	-0.0588704927179551	-0.0588704927179546	TRUE	0.606076523008096	4.44089209850063e-16	0.606076523008097	0.0417120996745053
RvY_00006-1	des	fast	slow	0.955388333372164	0.262157303348073	0.608772818360118	0.608772818360118	FALSE	0.693231030024091	0	0.693231030024091	0.547942938027895
RvY_00008-1	des	fast	slow	1.50133547628353	0.348064482379227	0.924699979331381	0.924699979331381	FALSE	1.15327099390431	0	1.15327099390431	1.74473240123942
RvY_00009-1	des	fast	slow	0.405193974178706	0.143123404483523	0.274158689331115	0.274158689331115	FALSE	0.262070569695183	0	0.262070569695183	0.982931454688871
RvY_00010-1	des	fast	slow	1.16783312990384	0.262586904175643	0.715210017039739	0.715210017039739	FALSE	0.905246225728193	0	0.905246225728193	1.10600424711743
RvY_00011-1	des	fast	slow	0.737912158156282	-0.118908186686908	0.309501985734688	0.309501985734687	TRUE	0.85682034484319	4.44089209850063e-16	0.856820344843191	0.412087118967219
RvY_00012-1	des	fast	slow	0.592022950879191	0	0.296011475439595	0.296011475439595	FALSE	0.592022950879191	0	0.592022950879191	0.631299779134105
RvY_00020-1	des	fast	slow	0.248321704751969	-0.052915269670363	0.0977032175408032	0.0977032175408032	TRUE	0.301236974422332	0	0.301236974422332	0.214201563669504
RvY_00021-1	des	fast	slow	0.483737685102635	0.138236236647389	0.310986960875012	0.310986960875012	FALSE	0.345501448455246	4.44089209850063e-16	0.345501448455246	0.149662618522554
RvY_00022-1	des	fast	slow	-0.716631935375953	-0.405322380080851	-0.560977157728403	-0.560977157728402	FALSE	0.311309555295102	8.88178419700125e-16	0.311309555295103	0.165194072895633
RvY_00023	des	fast	slow	0.133337634073625	-0.316178511301951	-0.091420438614163	-0.091420438614163	TRUE	0.449516145375576	0	0.449516145375576	0.254484446799193
RvY_00024-1	des	fast	slow	0.761978856681189	0.245066773911409	0.503522815296299	0.503522815296299	FALSE	0.51691208276978	0	0.51691208276978	0.31157551785806
RvY_00025-1	des	fast	slow	1.73089183161019	0.429686569116093	1.08028920036314	1.08028920036314	FALSE	1.3012052624941	8.88178419700125e-16	1.3012052624941	2.92133095231393
RvY_00026-1	des	fast	slow	1.03875666614316	0.58998785362595	0.814372259884553	0.814372259884554	FALSE	0.448768812517207	8.88178419700125e-16	0.448768812517208	0.313808459380694
RvY_00030-1	des	fast	slow	-0.0212774897071419	-0.851109298104386	-0.436193393905764	-0.436193393905764	FALSE	0.829831808397244	4.44089209850063e-16	0.829831808397244	0.383553340111075
RvY_00031-1	des	fast	slow	0.136897192756224	-0.197942784786478	-0.030522796015128	-0.0305227960151271	TRUE	0.334839977542702	8.88178419700125e-16	0.334839977542702	0.674642132244427
RvY_00033-1	des	fast	slow	0.0241173567397421	0.401072263100491	0.212594809920117	0.212594809920116	FALSE	0.376954906360749	4.44089209850063e-16	0.376954906360749	0.121882721295845
RvY_00034-1	des	fast	slow	0.439463413293307	0.114017626362309	0.276740519827808	0.276740519827808	FALSE	0.325445786930998	4.44089209850063e-16	0.325445786930998	0.141313928981541
RvY_00035-1	des	fast	slow	-0.0967475173985912	0.0517672390355681	-0.022490139181512	-0.0224901391815115	TRUE	0.148514756434159	4.44089209850063e-16	0.14851475643416	0.0824805671469261
RvY_00037-1	des	fast	slow	-0.154080474852683	0.114978586684138	-0.0195509440842718	-0.0195509440842723	TRUE	0.269059061536821	4.44089209850063e-16	0.269059061536822	0.12678565900464
RvY_00039	des	fast	slow	0.475872218473639	0.228317659743111	0.352094939108375	0.352094939108375	FALSE	0.247554558730528	0	0.247554558730528	0.196788089214679
RvY_00042-1	des	fast	slow	0.115597401167945	0.391993418571765	0.253795409869856	0.253795409869855	FALSE	0.27639601740382	4.44089209850063e-16	0.27639601740382	0.0700256793793664
RvY_00044-1	des	fast	slow	1.08847050663385	-0.183022607567127	0.452723949533359	0.452723949533359	TRUE	1.27149311420097	0	1.27149311420097	0.817970467531232
RvY_00045-1	des	fast	slow	0.420897466708584	0.0222172970052448	0.221557381856915	0.221557381856914	FALSE	0.398680169703339	4.44089209850063e-16	0.39868016970334	0.189000995416497
RvY_00046-1	des	fast	slow	0.639922985520943	0.439263996784129	0.539593491152536	0.539593491152536	FALSE	0.200658988736814	0	0.200658988736814	1.05249583222239
RvY_00047-1	des	fast	slow	0.410264716129842	0.190236355195093	0.300250535662467	0.300250535662467	FALSE	0.22002836093475	0	0.22002836093475	0.321589816908922
RvY_00049-1	des	fast	slow	0.957480225932002	-0.0909095282829355	0.433285348824533	0.433285348824533	TRUE	1.04838975421494	8.88178419700125e-16	1.04838975421494	0.644785040183105
RvY_00056-1	des	fast	slow	0.473245032171922	-0.140875087900246	0.166184972135838	0.166184972135838	TRUE	0.614120120072167	0	0.614120120072167	0.158790418718597
RvY_00060-1	des	fast	slow	0.507395072738083	0.65143069205028	0.579412882394181	0.579412882394181	FALSE	0.144035619312197	0	0.144035619312197	0.299443006542722
RvY_00061-1	des	fast	slow	1.02650614645298	0.294288147957041	0.66039714720501	0.66039714720501	FALSE	0.732217998495937	0	0.732217998495937	0.25954600332596
RvY_00062	des	fast	slow	0.205834770193546	0.36775311041811	0.286793940305827	0.286793940305828	FALSE	0.161918340224564	4.44089209850063e-16	0.161918340224565	0.360979530838741
RvY_00063-1	des	fast	slow	2.39026677231544	0.612771505978069	1.50151913914675	1.50151913914675	FALSE	1.77749526633737	1.77635683940025e-15	1.77749526633737	5.64869299451988
RvY_00064-1	des	fast	slow	-0.370415662852002	-0.411438632878024	-0.390927147865014	-0.390927147865013	FALSE	0.0410229700260221	8.88178419700125e-16	0.041022970026023	0.172097049999603
RvY_00066	des	fast	slow	0.981030691522808	0.449833863725067	0.715432277623938	0.715432277623938	FALSE	0.53119682779774	4.44089209850063e-16	0.531196827797741	1.66764532921458
RvY_00067-1	des	fast	slow	-1.14122602342913	-0.92362807346959	-1.03242704844936	-1.03242704844936	FALSE	0.21759794995954	0	0.21759794995954	1.16159885922913
RvY_00068-1	des	fast	slow	0.468752891654388	-0.0943490675981513	0.187201912028118	0.187201912028118	TRUE	0.563101959252539	4.44089209850063e-16	0.56310195925254	0.251041146442184
RvY_00070-1	des	fast	slow	0.705614934285612	-0.311346005261885	0.197134464511864	0.197134464511864	TRUE	1.0169609395475	0	1.0169609395475	0.465842293249474
RvY_00071-1	des	fast	slow	0.707371885052723	-0.224068889142497	0.241651497955113	0.241651497955113	TRUE	0.93144077419522	0	0.93144077419522	0.264053240518335
RvY_00072-1	des	fast	slow	0.147938271788869	0.440181632910171	0.294059952349519	0.29405995234952	FALSE	0.292243361121303	8.88178419700125e-16	0.292243361121304	1.20106658076682
RvY_00073-1	des	fast	slow	-0.714293700516835	-0.506513204282616	-0.610403452399726	-0.610403452399726	FALSE	0.20778049623422	8.88178419700125e-16	0.20778049623422	0.185601623060034
RvY_00074	des	fast	slow	-0.366155559122351	-1.00384371944883	-0.684999639285588	-0.684999639285589	FALSE	0.637688160326476	4.44089209850063e-16	0.637688160326476	0.631181171204874
RvY_00075-1	des	fast	slow	0.276464410624357	-0.225448259675802	0.0255080754742778	0.0255080754742778	TRUE	0.501912670300159	0	0.501912670300159	0.174313252875581
RvY_00076-1	des	fast	slow	0.216544081967467	-0.383994236419873	-0.0837250772262035	-0.083725077226203	TRUE	0.600538318387341	4.44089209850063e-16	0.600538318387341	0.157036625345542
RvY_00077-1	des	fast	slow	-0.457777406726284	-0.5868412256631	-0.522309316194692	-0.522309316194692	FALSE	0.129063818936817	4.44089209850063e-16	0.129063818936817	0.194988117884772
RvY_00078-1	des	fast	slow	0.418747659659901	-0.0154611284119479	0.201643265623976	0.201643265623976	TRUE	0.434208788071849	4.44089209850063e-16	0.434208788071849	0.115378347180767
RvY_00081	des	fast	slow	-0.788771545614985	-0.304521750941446	-0.546646648278215	-0.546646648278216	FALSE	0.484249794673539	4.44089209850063e-16	0.484249794673539	0.242440667858385
