condition	n_features	spearman_instability_vs_effect_divergence	spearman_pool_vs_strat	median_abs_pool_minus_strat	q95_abs_pool_minus_strat	sign_flip_rate	j_gap_vs_dis_K200	j_gap_vs_dis_K1000	flip_top200	flip_top1000
des	15187	1	1	0	1.30104260698261e-15	0.320010535326266	0.0101010101010101	0.0476689366160293	0.27	0.374
uv	15187	0.998478841601343	0.99493550038095	0.026248831942415	0.0843497706895109	0.407980509646408	0.30718954248366	0.376462491397109	0.92	0.846
