condition	j_gap_vs_dis_K200	j_gap_vs_dis_K1000	flip_top200	flip_top1000
des	0.0101010101010101	0.0476689366160293	0.27	0.374
uv	0.30718954248366	0.376462491397109	0.92	0.846
