tier	n	median_hetero_gap	q1	q3
Background	15175	0.671990062343848	0.482217397790412	0.916029665657961
Top 10%	1518	1.47478435900676	1.26901149111212	1.77680689908284
Top 5%	759	1.77706341421401	1.53480752337236	2.09066557984644
