gene	short	pooled	long	instability_score	opposition	abs_delta_pool
RvY_14730-1	-1.31302042182357	-0.0560235148508808	1.17858315486658	2.63613368160566	2.49160357669015	0.0560235148508808
RvY_14133	1.24020043561966	-0.0286955170327365	-1.23543037983084	2.59927719648901	2.4756308154505	0.0286955170327365
RvY_06540-1	-1.1776144315701	-0.0271045718848661	1.16856457694615	2.51539484112141	2.34617900851625	0.0271045718848661
RvY_18153-1	1.15421860726266	-0.0187189601618254	-1.08996314524418	2.33359642086745	2.24418175250684	0.0187189601618254
