tier	n	median_hetero_gap	q1	q3
Background	15187	0.391937694175023	0.183666335949661	0.685401426218887
Top 10%	1519	1.45237186515727	1.21948972119497	1.90858290487957
Top 5%	760	1.90858290487957	1.62816270215354	2.38882475655236
