condition	group	n	sign_flip_rate	median_instability	median_hetero_gap	median_discordance
uv	background_all	15187	0.408	0.4278	0.4019	0.0262
uv	top10_instability	1519	0.8176	1.4027	1.3341	0.076
uv	top5_instability	760	0.8553	1.6288	1.5483	0.0881
des	background_all	15187	0.32	0.3919	0.3919	0
des	top10_instability	1519	0.3891	1.4524	1.4524	0
des	top5_instability	760	0.3487	1.9086	1.9086	0
gam	background_all	15175	0.5598	0.7722	0.672	0.125
gam	top10_instability	1518	0.8096	1.7224	1.4748	0.25
gam	top5_instability	759	0.8682	2.119	1.7771	0.25
