condition	source_type	median_instability	median_hetero_gap	median_discordance
UV	real	0.427841928881106	0.401941853822486	0.0262488319424146
DES	real	0.391937694175023	0.391937694175023	4.44089209850063e-16
GAM	real	0.772214773677847	0.671990062343848	0.125
LT	null	0.211333793693141	0.21133379369314	4.04121180963557e-16
