condition	source_type	n_total	frac_top10	frac_top5
UV	real	15187	0.10153420688747	0.0476065055639692
DES	real	15187	0.09047211430829	0.053137551853559
GAM	real	15175	0.199604612850082	0.0963426688632619
LT	null	15187	0.00849410680187002	0.00296306051228024
