gene	instability_score	hetero_gap	sign_flip	delta_pool	short_annot	ipr_go	ipr_path	pfam_hits
RvY_07877-1	2.98421124026877	2.84659146667576	TRUE	-0.167366940414622	Uncharacterized protein	""	""	""
RvY_02420-1	2.98399032893322	2.80067549468351	TRUE	-1.26393863583912	Uncharacterized protein	""	""	""
RvY_03909	2.89892551065453	2.75280969104562	TRUE	0.62663031582501	Uncharacterized protein	""	""	""
RvY_01282-1	2.89428418188808	2.753805978439	TRUE	-0.533812998204413	Uncharacterized protein	""	""	""
RvY_19428-1	2.8877444926789	2.72524612355527	TRUE	1.09937359829352	Uncharacterized protein	""	""	""
RvY_02443-1	2.8458683213273	2.70497429541151	TRUE	0.980163067100305	Uncharacterized protein	""	""	""
RvY_15742-1	2.80365211618762	2.65772674838298	TRUE	0.919396156440039	Uncharacterized protein	""	""	""
RvY_07465-1	2.74216256420817	2.61969442517187	TRUE	-0.963121602198678	Uncharacterized protein	""	""	""
RvY_11878-1	2.69928713260976	2.54104473785999	TRUE	1.03063956840272	Uncharacterized protein	""	""	""
RvY_02824-1	2.6665925801061	2.49827760668911	TRUE	0.690761092323072	Uncharacterized protein	""	""	""
RvY_16120	2.66632171378228	2.50893727248437	TRUE	0.541398479352299	Uncharacterized protein	""	""	""
RvY_04438-1	2.66253423639105	2.50507275276066	TRUE	-0.800757626996101	Uncharacterized protein	""	""	""
RvY_14730-1	2.63613368160566	2.49160357669015	TRUE	-0.0560235148508808	Uncharacterized protein	""	""	""
RvY_19217-1	2.63359560749005	2.49373836811991	TRUE	0.435794054937405	Uncharacterized protein	""	""	""
RvY_09977	2.62299480378051	2.48563484193359	TRUE	0.501035390305224	Uncharacterized protein	""	""	""
RvY_02617	2.59970803310724	2.45962557776301	TRUE	-0.862982182184449	Uncharacterized protein	""	""	""
RvY_14133	2.59927719648901	2.4756308154505	TRUE	-0.0286955170327365	Uncharacterized protein	""	""	""
RvY_19489-1	2.57465397307096	2.48680148173834	TRUE	-0.244448463369943	Uncharacterized protein	""	""	""
RvY_05756-1	2.54635449910063	2.44743334847804	TRUE	0.312773578119497	Uncharacterized protein	""	""	""
RvY_00460-1	2.51835612161483	2.36500783200826	TRUE	-0.767547146149676	Uncharacterized protein	""	""	""
RvY_06540-1	2.51539484112141	2.34617900851625	TRUE	-0.0271045718848661	Uncharacterized protein	""	""	""
RvY_17121-1	2.5151461658675	2.36240070962339	TRUE	-0.248534825310947	Uncharacterized protein	""	""	""
RvY_19669-1	2.51167452116751	2.39524698078553	TRUE	0.159120503187626	Uncharacterized protein	""	""	""
RvY_10593-1	2.50055310391229	2.39317865154753	TRUE	0.755173398196654	Uncharacterized protein	""	""	""
RvY_01202	2.49119630526914	2.37993457285462	TRUE	-0.892298141948102	Uncharacterized protein	""	""	""
RvY_13378-1	2.4505139152716	2.31418866387324	TRUE	0.900442908263096	Uncharacterized protein	""	""	""
RvY_12589-1	2.43608101025165	2.29401482060719	TRUE	-0.933215620880673	Uncharacterized protein	""	""	""
RvY_12426-1	2.42469030659064	2.29176573795614	TRUE	0.62327006464966	Uncharacterized protein	""	""	""
RvY_05865-1	2.42179044528203	2.27664833865818	TRUE	0.68932251747201	Uncharacterized protein	""	""	""
RvY_08410	2.42045688683001	2.28361682416161	TRUE	0.219009287918429	Uncharacterized protein	""	""	""
RvY_18994-1	2.41197089286501	2.29287448429809	TRUE	-0.385418278063803	Uncharacterized protein	""	""	""
RvY_14535-1	2.41177847308871	2.26395081068234	TRUE	-0.646952198146249	Uncharacterized protein	""	""	""
RvY_10290	2.39316061348046	2.2591700727526	TRUE	0.132268757733893	Uncharacterized protein	""	""	""
RvY_03382	2.38782192568631	2.2631196557489	TRUE	0.224402701271761	Uncharacterized protein	""	""	""
RvY_04310-1	2.3517747870655	2.21565497638213	TRUE	1.08717970359914	Uncharacterized protein	""	""	""
RvY_01734-1	2.34549675573988	2.22000604763654	TRUE	-0.101284295376165	Uncharacterized protein	""	""	""
RvY_13663-1	2.34374531955413	2.21123023241817	TRUE	-0.0613271308160739	Uncharacterized protein	""	""	""
RvY_03054	2.33898693436979	2.23301559655925	TRUE	-0.222661672428902	Uncharacterized protein	""	""	""
RvY_18153-1	2.33359642086745	2.24418175250684	TRUE	-0.0187189601618254	Uncharacterized protein	""	""	""
RvY_03078-1	2.30738473157049	2.24048235310094	TRUE	0.238584964370935	Uncharacterized protein	""	""	""
RvY_11656-1	2.30136125236365	2.16824046356433	TRUE	0.710765757026332	Uncharacterized protein	""	""	""
RvY_16778-1	2.29209035034318	2.16615376528626	TRUE	0.958440794706404	Uncharacterized protein	""	""	""
