gene	gene_base	protein_id	ncbi_protein_desc	match_type	delta_pool	instability_score
RvY_17459-1	NA	GAV07644.1	hypothetical protein	exact_gene	0.0700704314951599	1.16615466879814
RvY_17490	NA	GAV07676.1	hypothetical protein	exact_gene	-0.0714732190200058	1.56111979413298
RvY_17569-1	NA	GAV07764.1	hypothetical protein	exact_gene	-0.115924941597275	1.40179088386438
RvY_17574-1	NA	GAV07771.1	hypothetical protein	exact_gene	-0.0909420531220588	1.30142268358561
RvY_17610	NA	GAV07815.1	hypothetical protein	exact_gene	-0.00550110790809644	1.33721186410361
RvY_17741	NA	GAV07971.1	hypothetical protein	exact_gene	-0.103115953991107	1.46589354794126
RvY_17745-1	NA	GAV07975.1	hypothetical protein	exact_gene	-0.113760869815716	1.51236111696144
RvY_17788-1	NA	GAV08030.1	hypothetical protein	exact_gene	0.0885495610173033	1.32195886809319
RvY_17794-1	NA	GAV08038.1	hypothetical protein	exact_gene	-0.0853494861805899	1.22545552965639
RvY_17804-1	NA	GAV08053.1	hypothetical protein	exact_gene	0.0163279912054115	1.36657214446557
RvY_17811-1	NA	GAV08061.1	hypothetical protein	exact_gene	-0.0872034983442074	1.15124693201786
RvY_17826-1	NA	GAV08081.1	hypothetical protein	exact_gene	0.0191931111669437	1.17286124379301
RvY_17915-1	NA	GAV08184.1	hypothetical protein	exact_gene	0.067337553840745	1.39500122362523
RvY_18043-1	NA	GAV08333.1	hypothetical protein	exact_gene	-0.0470904861374448	1.23512877861613
RvY_18048-1	NA	GAV08338.1	hypothetical protein	exact_gene	-0.0749271843821591	1.57605320400732
RvY_18082	NA	GAV08380.1	hypothetical protein	exact_gene	0.0921997134003476	1.50597492048933
RvY_18103-1	NA	GAV08411.1	hypothetical protein	exact_gene	-0.0973824778611005	1.19985656083878
RvY_18115-1	NA	GAV08424.1	hypothetical protein	exact_gene	0.0438609738007116	1.5455666088081
RvY_18122-1	NA	GAV08434.1	hypothetical protein	exact_gene	0.0749986111694101	1.22120936572329
RvY_18134	NA	GAV08448.1	hypothetical protein	exact_gene	-0.0962406491791263	1.22096572583744
RvY_18153-1	NA	GAV08470.1	hypothetical protein	exact_gene	-0.0187189601618254	2.33359642086745
RvY_18180-1	NA	GAV08498.1	hypothetical protein	exact_gene	0.091233978859826	1.20556549455049
RvY_18221-1	NA	GAV08548.1	hypothetical protein	exact_gene	0.116375985399362	1.33612788446983
RvY_18332-1	NA	GAV08673.1	hypothetical protein	exact_gene	0.081966351626356	1.65438829456595
RvY_18381-1	NA	GAV08727.1	hypothetical protein	exact_gene	0.0996787943298258	1.29976047731031
RvY_18441-1	NA	GAV08798.1	hypothetical protein	exact_gene	0.0890438960455127	1.54720808649399
RvY_18479	NA	GAV08846.1	hypothetical protein	exact_gene	0.0327590720205171	1.22936071250444
RvY_18583	NA	GAV08969.1	hypothetical protein	exact_gene	-0.0901888908062105	1.60593707249965
RvY_18595-1	NA	GAV08983.1	hypothetical protein	exact_gene	0.0546555220522036	1.21585303817352
RvY_18615	NA	GAV09005.1	hypothetical protein	exact_gene	-0.0224898571157297	1.45019937054102
RvY_18684-1	NA	GAV09086.1	hypothetical protein	exact_gene	0.0303951687028921	1.38313788936804
RvY_18848-1	NA	GAV09279.1	hypothetical protein	exact_gene	-0.0317092441906759	1.25610093167913
RvY_19039	NA	GAV09508.1	hypothetical protein	exact_gene	-0.00574616839883113	1.20789737310006
RvY_19043	NA	GAV09514.1	hypothetical protein	exact_gene	0.0134032899352246	1.53928149121808
