"Package","Version"
"rstudioapi","0.17.1"
"Rtsne","0.17"
"rvest","1.0.5"
"S4Arrays","1.6.0"
"S4Vectors","0.44.0"
"S7","0.2.0"
"sass","0.4.10"
"scatterpie","0.2.6"
"scatterplot3d","0.3-44"
"selectr","0.4-2"
"seriation","1.5.8"
"shape","1.4.6.1"
"shiny","1.11.1"
"snow","0.4-4"
"sourcetools","0.1.7-1"
"SparseArray","1.6.2"
"SparseM","1.84-2"
"sparsevctrs","0.3.4"
"SQUAREM","2021.1"
"statmod","1.5.0"
"stringi","1.8.7"
"stringr","1.5.2"
"SummarizedExperiment","1.36.0"
"survival","3.8-3"
"svglite","2.2.1"
"sys","3.4.3"
"systemfonts","1.2.3"
"textshaping","1.0.3"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tidytree","0.4.6"
"tidyverse","2.0.0"
"timechange","0.3.0"
"timeDate","4041.110"
"tinytex","0.57"
"treeio","1.30.0"
"TSP","1.2-5"
"tweenr","2.0.3"
"tximport","1.34.0"
"tzdb","0.5.0"
"umap","0.2.10.0"
"UpSetR","1.4.0"
"uuid","1.2-1"
"vegan","2.7-1"
"VennDiagram","1.7.3"
"viridis","0.6.5"
"visNetwork","2.1.4"
"vroom","1.6.5"
"webshot","0.5.5"
"xfun","0.53"
"xgboost","1.7.11.1"
"XML","3.99-0.19"
"xml2","1.4.0"
"xtable","1.8-4"
"XVector","0.46.0"
"yaml","2.3.10"
"yulab.utils","0.2.1"
"zlibbioc","1.52.0"
"base","4.4.3"
"cli","3.6.5"
"colorspace","2.1-2"
"compiler","4.4.3"
"cpp11","0.5.3"
"data.table","1.17.8"
"datasets","4.4.3"
"farver","2.1.2"
"ggplot2","4.0.2"
"glue","1.8.0"
"graphics","4.4.3"
"grDevices","4.4.3"
"grid","4.4.3"
"gtable","0.3.6"
"isoband","0.3.0"
"labeling","0.4.3"
"lifecycle","1.0.5"
"limma","3.62.1"
"matrixStats","1.5.0"
"methods","4.4.3"
"munsell","0.5.1"
"parallel","4.4.3"
"R6","2.6.1"
"RColorBrewer","1.1-3"
"rlang","1.1.7"
"S7","0.2.1"
"scales","1.4.0"
"splines","4.4.3"
"statmod","1.5.1"
"stats","4.4.3"
"stats4","4.4.3"
"tcltk","4.4.3"
"tools","4.4.3"
"utils","4.4.3"
"vctrs","0.7.1"
"viridisLite","0.4.3"
"withr","3.0.2"
